,0
1234,DDRGK1
1235,CCNB1
1236,PDK1
1237,MXD4
1238,USP19
1239,C15orf39
1240,CYP3A4
1241,PSMA4
1242,GSTK1
1243,C9orf116
1244,SMCO4
1245,GRPEL1
1246,THBS1
1247,R3HCC1
1248,MRPL11
1249,ZNF592
1250,LETMD1
1251,SLC15A3
1252,ESRRA
1253,FOS
1254,TPX2
1255,FDPS
1256,EIF6
1257,EPHX3
1258,PPOX
1259,NINJ2
1260,NQO2
1261,RAB31
1262,TRIM24
1263,POLR2D
1264,ANXA10
1265,HOMER2
1266,PPAN
1267,STUB1
1268,ZBTB25
1269,PI4KB
1270,C2orf72
1271,CFB
1272,DLG1
1273,KIAA0586
1274,CCL19
1275,LCN1
1276,NPR1
1277,SP100
1278,GFPT2
1279,DIS3
1280,HINFP
1281,PSTPIP1
1282,TINF2
1283,MYBPH
1284,RNASE3
1285,CLDN10
1286,MCF2L
1287,FSTL4
1288,PHF3
1289,NOL7
1290,HMMR
1291,TIMM13
1292,KHK
1293,MANEA
1294,PPAT
1295,CASP10
1296,CELF2
1297,ASB7
1298,FAM83E
1299,NFX1
1300,TARDBP
1301,IL22
1302,TACC2
1303,BCS1L
1304,DVL2
1305,MAGT1
1306,PRDX4
1307,GLRA2
1308,TRAF1
1309,MRPS15
1310,PLAC8
1311,PRKAB2
1312,BATF3
1313,PLN
1314,CHAT
1315,RNF4
1316,ASF1B
1317,GOLGA4
1318,MT2A
1319,OTOR
1320,SETD3
1321,FZD1
1322,DDIT3
1323,TANC2
1324,TAAR3P
1325,JMJD7
1326,ALDOA
1327,BHMT
1328,MNT
1329,GEMIN6
1330,IFRD1
1331,STRN
1332,MYO9B
1333,APOC1P1
1334,LYPLA1
1335,SNRPA
1336,ANK2
1337,COX6A2
1338,BBIP1
1339,ZNF548
1340,SOAT2
1341,CYTH1
1342,CUL4A
1343,TMEM184C
1344,PTPN6
1345,RBCK1
1346,RRBP1
1347,PDCD4
1348,THOP1
1349,SMOX
1350,PPP3CB
1351,KYAT3
1352,HEBP1
1353,SLC22A18
1354,TFDP1
1355,H2AFZ
1356,MDH2
1357,WTAP
1358,GID8
1359,RAD23A
1360,STAG3L4
1361,PPP1CC
1362,OSBPL7
1363,CCNH
1364,SF3B4
1365,TRBV10-2
1366,PJA1
1367,PEX26
1368,NDUFB1
1369,GPR75
1370,BID
1371,TJP3
1372,FAM193B
1373,RWDD3
1374,DDX10
1375,RAP2A
1376,TERF1
1377,INSRR
1378,NMD3
1379,ASGR1
1380,RBFOX2
1381,SSX3
1382,INPP5B
1383,TTC26
1384,PRKACA
1385,QARS
1386,ROR1
1387,PORCN
1388,STOML1
1389,LRIF1
1390,AMPD2
1391,HIRA
1392,DPM1
1393,PQBP1
1394,NEFH
1395,PURA
1396,DHX32
1397,CD247
1398,ASAP1
1399,FUT5
1400,SNX13
1401,CCDC9
1402,POLR2H
1403,PSPH
1404,RO60
1405,DENND2D
1406,PLCH2
1407,JAM3
1408,CIAPIN1
1409,MIS12
1410,SECISBP2L
1411,PTGES2
1412,NAAA
1413,SERPINA1
1414,NINL
1415,FAT2
1416,BSDC1
1417,ITGB3BP
1418,FILIP1L
1419,PVR
1420,NELFCD
1421,DDX3Y
1422,MEPE
1423,TTC1
1424,SSR1
1425,KIZ
1426,PANK2
1427,WASHC3
1428,STX17
1429,RGS12
1430,RPL13
1431,SRI
1432,ASB9
1433,TLE4
1434,CHST11
1435,SYN1
1436,SPATS2
1437,PEX19
1438,MTG1
1439,PPP2R1A
1440,IFIT2
1441,DESI1
1442,RANBP2
1443,PSME1
1444,HGS
1445,TTC9
1446,SLC16A5
1447,SHC1
1448,TNFSF14
1449,NDUFB2
1450,TRIM14
1451,VTI1B
1452,OTUB1
1453,BTG1
1454,TPST2
1455,IRS2
1456,MS4A6A
1457,WDR60
1458,PLPPR2
1459,BTNL3
1460,NTN1
1461,MAGEF1
1462,MYCBP2
1463,C11orf68
1464,IFT22
1465,NACA4P
1466,ATG13
1467,GRB14
1468,MEST
1469,SMO
1470,PPARA
1471,GPR12
1472,PIGB
1473,TAL1
1474,PRDM2
1475,TYRP1
1476,TRAPPC2L
1477,COG2
1478,SPG11
1479,KLF10
1480,SCAPER
1481,EFCAB2
1482,NLRP2
1483,SCAMP4
1484,IGHMBP2
1485,CASKIN2
1486,FBXO24
1487,APOC3
1488,PCDH9
1489,GATC
1490,UBTD1
1491,SLC29A2
1492,DLEC1
1493,PGAP3
1494,RWDD2A
1495,NOLC1
1496,MAN2A2
1497,C4orf19
1498,TWISTNB
1499,NDUFB5
1500,BIRC2
1501,PTPN21
1502,VEGFC
1503,UBXN6
1504,SLC5A12
1505,MET
1506,UGT2B15
1507,EDRF1
1508,TOB1
1509,RIC8B
1510,EPAS1
1511,RPUSD2
1512,C1orf21
1513,SMYD3
1514,RREB1
1515,KRTAP1-1
1516,ZNF556
1517,CLOCK
1518,SYT17
1519,FBLN5
1520,HPCA
1521,TNS2
1522,CAPRIN2
1523,CENPBD1P1
1524,GPR37L1
1525,MRPL44
1526,FSTL1
1527,WDR12
1528,PLA2G2A
1529,KLHL3
1530,PPP1R26
1531,DMTN
1532,TROAP
1533,VWF
1534,C5orf30
1535,GPN2
1536,PRKAR1A
1537,HNRNPAB
1538,AURKAIP1
1539,SUMO4
1540,ANAPC5
1541,KIF2C
1542,LINC00339
1543,FAM155A
1544,TNIP2
1545,TK2
1546,BAZ2A
1547,UNC45A
1548,M6PR
1549,KANSL2
1550,RARB
1551,INHBC
1552,BCL11A
1553,TIAL1
1554,MAPRE1
1555,CNN3
1556,E2F2
1557,RNF216
1558,FGR
1559,CLEC2B
1560,BAHD1
1561,KIAA0930
1562,IFITM2
1563,LCT
1564,ARFIP2
1565,KEL
1566,BRF1
1567,MAN2B2
1568,ZFP2
1569,BTN2A2
1570,ZNF835
1571,PPP1R3D
1572,ISG20
1573,ARSJ
1574,ASL
1575,COX5B
1576,RECQL4
1577,ZXDA
1578,SLAMF7
1579,ARL6IP1
1580,ATP6V0A4
1581,UBE2D2
1582,PPM1F
1583,HRC
1584,KISS1
1585,WDR48
1586,COX15
1587,ASXL2
1588,GP1BA
1589,CYP2C19
1590,PALM
1591,HESX1
1592,SMAD6
1593,GUCY2D
1594,NINJ1
1595,TSPAN6
1596,HPSE2
1597,BICD2
1598,TFB1M
1599,PLEKHA5
1600,SCGN
1601,LRRN3
1602,THNSL2
1603,CGA
1604,FLT3
1605,WDR62
1606,OAZ2
1607,PEX7
1608,ANKFY1
1609,WRAP53
1610,CTSG
1611,CREB3L2
1612,PGC
1613,KAT6A
1614,PUF60
1615,DDX19A
1616,HIVEP1
1617,BACE2
1618,GAS8-AS1
1619,VCAN
1620,NUP107
1621,PRCC
1622,ARPC1A
1623,SLC22A17
1624,HSP90B1
1625,CBLB
1626,DIPK2B
1627,EBLN2
1628,GNAS
1629,BOLA1
1630,DHRS7
1631,ATP5F1A
1632,PMS2P1
1633,COQ7
1634,GAS8
1635,POLG
1636,NEDD8
1637,PDIA3
1638,ITGB1BP2
1639,CCDC92
1640,LSM8
1641,PLCD1
1642,FEZ2
1643,TGFB1I1
1644,VAMP8
1645,BYSL
1646,FAIM2
1647,ITGB5
1648,TRIM38
1649,SMC3
1650,CYBA
1651,ATF2
1652,MMD
1653,IZUMO4
1654,DNAJB4
1655,STK32B
1656,NPHS1
1657,NECAB3
1658,GALNS
1659,HTR5A
1660,LANCL1
1661,PSRC1
1662,MTIF2
1663,SDF2
1664,NAA16
1665,BANK1
1666,PDE4A
1667,SERPING1
1668,SPRY1
1669,CLDN4
1670,FEM1C
1671,MBD4
1672,HES1
1673,TFB2M
1674,SLIRP
1675,SLC38A6
1676,POGLUT1
1677,GPS2
1678,SUPT16H
1679,GDPD5
1680,SERINC1
1681,SLTM
1682,YAF2
1683,LHB
1684,ITGAX
1685,MTMR9
1686,JPT1
1687,MYO10
1688,TBX21
1689,DYNC1LI2
1690,CCL25
1691,SENP6
1692,CAMK1
